Id,BlanketOrderId,BlanketId,RollBlanketUsage,RollBlanketDefect,TotalCost,BarCost,AdhesiveCost,RollBlanketCost,IsCut,IsSideSealed,IsBarPrepared,IsAdhesiveTapeApplied,IsBarMounted,IsBarHeatPressed,IsBarPullOffTested,IsQCAndMarked,IsPackaged,IsRejected,RejectedDate,IsJobScheduled,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
108,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:06,,
109,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:11,,
110,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:15,,
111,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:20,,
112,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:26,,
113,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:30,,
114,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:35,,
115,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:39,,
116,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:44,,
117,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:49,,
118,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:54,,
119,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:38:59,,
120,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:39:41,,
121,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:39:47,,
122,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:39:52,,
123,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:02,,
124,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:08,,
125,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:14,,
126,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:20,,
127,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:29,,
128,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:40:52,,
129,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:17,,2015-04-27 21:54:49
130,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:25,,2015-04-27 21:54:45
131,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:30,,2015-04-27 21:54:53
