Id,NomorSurat,ContactId,CurrencyId,Rate,AmountReceivable,Tax,DPP,InvoiceDate,CreatedAt,UpdatedAt,DeletedAt
175,002.14.87583569,978,2,12172,86.9,8.69,79,2014-10-14,2014-12-19 12:04:04,,
176,002.14.87583570,978,2,12172,495,49.5,450,2014-10-14,2014-12-19 12:04:04,,
177,002.14.87583571,978,2,12172,1034,103.4,940,2014-10-14,2014-12-19 12:04:04,,
178,002.14.87583573,978,3,15326.5,3275.2,0,3275.2,2014-10-14,2014-12-19 12:04:04,,
179,002.14.87583580,978,2,12172,243.23,24.32,221.12,2014-10-14,2014-12-19 12:04:04,,
180,002.14.87583618,978,3,15464.17,139,0,139,2014-10-17,2014-12-19 12:04:04,,
181,002.14.87583619,978,2,12210,687.5,68.75,625,2014-10-17,2014-12-19 12:04:04,,
182,002.14.87583660,978,2,12210,1287,128.7,1170,2014-10-21,2014-12-19 12:04:04,,
183,002.14.87583661,978,2,12210,1355.2,135.52,1232,2014-10-21,2014-12-19 12:04:04,,
184,002.14.87583662,978,3,15464.17,3602.72,360.27,3275.2,2014-10-21,2014-12-19 12:04:05,,
185,002.14.87583663,978,2,12210,231,23.1,210,2014-10-21,2014-12-19 12:04:05,,
186,002.14.87583664,978,2,12210,1342,134.2,1220,2014-10-21,2014-12-19 12:04:05,,
187,002.14.87583709,978,2,12168,3274.13,327.41,2976.48,2014-10-24,2014-12-19 12:04:05,,
188,002.14.87583713,978,3,15533.4,139,0,139,2014-10-24,2014-12-19 12:04:05,,
189,002.14.87583749,978,2,12168,577.5,57.75,525,2014-10-28,2014-12-19 12:04:05,,
190,002.14.87583750,978,2,12168,646.25,64.63,587.5,2014-10-28,2014-12-19 12:04:05,,
191,002.14.87583751,978,3,15533.4,152.9,15.29,139,2014-10-28,2014-12-19 12:04:05,,
192,002.14.87583809,978,2,12038,173.8,17.38,158,2014-10-31,2014-12-19 12:04:05,,
193,002.14.87583810,978,2,12038,517,51.7,470,2014-10-31,2014-12-19 12:04:05,,
194,002.14.87583811,978,2,12038,78.76,7.88,71.6,2014-10-31,2014-12-19 12:04:05,,
195,002.14.87583812,978,2,12038,495,49.5,450,2014-10-31,2014-12-19 12:04:05,,
196,002.14.87583813,978,3,15261.5,152.9,15.29,139,2014-10-31,2014-12-19 12:04:05,,
197,002.14.87583814,978,3,15261.5,183.15,18.32,166.5,2014-10-31,2014-12-19 12:04:06,,
198,002.14.87583815,978,2,12038,231,23.1,210,2014-10-31,2014-12-19 12:04:06,,
199,002.14.87583816,978,2,12038,1544.4,154.44,1404,2014-10-31,2014-12-19 12:04:06,,
200,002.14.87583817,978,2,12038,687.5,68.75,625,2014-10-31,2014-12-19 12:04:06,,
201,002.14.87583818,978,3,15261.5,1801.36,180.14,1637.6,2014-10-31,2014-12-19 12:04:06,,
202,002.14.87583819,978,2,12038,385,38.5,350,2014-10-31,2014-12-19 12:04:06,,
203,002.14.87583820,978,2,12038,1342,134.2,1220,2014-10-31,2014-12-19 12:04:06,,
204,002.14.87583860,978,2,12038,173.8,17.38,158,2014-11-04,2014-12-19 12:04:06,,
205,002.14.87583861,978,2,12038,495,49.5,450,2014-11-04,2014-12-19 12:04:06,,
